,FB.O,AAPL.O,ASML.O,NVDA.O,CDW.O,QCOM.O,AMD.O,SBUX.O,MSFT.O,CERN.O
FB.O,0.057928020239047376,0.13100188055685505,-0.042546701199209426,1.6115910308659909,-0.014316395152078545,0.15177917594382165,-0.10516615686697528,0.08514192776293182,0.019218960949262467,0.12377039336306463
AAPL.O,0.13100188055685505,0.29773645291627693,-0.09665330172724412,3.6549015741337167,-0.03266402774879644,0.3441996123004206,-0.23810460828895366,0.19312819971738548,0.04339396087124705,0.2806338113220601
ASML.O,-0.042546701199209426,-0.09665330172724412,0.03138338441712515,-1.1868250407106817,0.01059929189699332,-0.11177158314044365,0.07736552169860475,-0.06270797243051676,-0.014096499905893222,-0.0911351038626722
NVDA.O,1.6115910308659909,3.6549015741337167,-1.1868250407106817,44.91008731284192,-0.4002937489529903,4.229521970883476,-2.9282546235292375,2.3728874688959443,0.5342526231677536,3.4487088883374004
CDW.O,-0.014316395152078545,-0.03266402774879644,0.01059929189699332,-0.4002937489529903,0.0035948085301426977,-0.037695280576014324,0.02604139231105942,-0.02115488223757676,-0.004735874957630518,-0.03072986486269213
QCOM.O,0.15177917594382165,0.3441996123004206,-0.11177158314044365,4.229521970883476,-0.037695280576014324,0.39832801207101926,-0.2758031336933733,0.22346909563089948,0.05031614166491893,0.32479550013558733
AMD.O,-0.10516615686697528,-0.23810460828895366,0.07736552169860475,-2.9282546235292375,0.02604139231105942,-0.2758031336933733,0.19153211945138446,-0.15462627059047332,-0.03485540936725098,-0.22496310237513667
SBUX.O,0.08514192776293182,0.19312819971738548,-0.06270797243051676,2.3728874688959443,-0.02115488223757676,0.22346909563089948,-0.15462627059047332,0.12539114701065002,0.028230001031502285,0.18220190012647564
MSFT.O,0.019218960949262467,0.04339396087124705,-0.014096499905893222,0.5342526231677536,-0.004735874957630518,0.05031614166491893,-0.03485540936725098,0.028230001031502285,0.00638382303574941,0.04102879360262464
CERN.O,0.12377039336306463,0.2806338113220601,-0.0911351038626722,3.4487088883374004,-0.03072986486269213,0.32479550013558733,-0.22496310237513667,0.18220190012647564,0.04102879360262464,0.2648474578560554
