,AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O,
,苹果(APPLE),奥多比(ADOBE),亚德诺(ANALOG),自动数据处理,欧特克(AUTODESK),美国电力,阿莱技术(ALIGN TECHNOLOGY),应用材料(APPLIED MATERIAL),超威半导体(AMD),安进(AMGEN),亚马逊(AMAZON),安西斯(ANSYS),阿斯麦,动视暴雪(ACTIVISION BLIZZARD),博通(BROADCOM),百度,生物基因(BIOGEN),BOOKING,铿腾电子(CADENCE),CDW,塞纳(CERNER),CHECK POINT SOFTWARE TECHNOLOGIES,特许通讯(CHARTER COMMUNICATIONS),康卡斯特(COMCAST),开市客(COSTCO),科帕特(COPART),CROWDSTRIKE,思科(CISCO),CSX运输,信达思(CINTAS),高知特科技(COGNIZANT),美元树(DOLLAR TREE),DOCUSIGN,德康医疗(DEXCOM),艺电(ELECTRONIC ARTS),EBAY,爱克斯龙电力(EXELON),快扣(FASTENAL),脸书(META PLATFORMS),费哲金融服务(FISERV),FOX,FOX-A,吉利德科学(GILEAD SCIENCES),谷歌(ALPHABET)-C,谷歌(ALPHABET)-A,霍尼韦尔国际(HONEYWELL INTERNATIONAL),IDEXX实验室,ILLUMINA,因塞特医疗(INCYTE),英特尔(INTEL),财捷(INTUIT),直觉外科(INTUITIVE),京东,KEURIG DR PEPPER,卡夫亨氏(KRAFT HEINZ),科天半导体(KLA),拉姆研究(LAM RESEARCH),露露乐蒙(LULULEMON),万豪国际(MARRIOTT INTL),微芯科技(MICROCHIP),亿滋国际(MONDELEZ INTL),MERCADOLIBRE,怪物饮料(MONSTER BEVERAGE),MODERNA,迈威尔科技,微软(MICROSOFT),MATCH,美光科技(MICRON TECHNOLOGY),奈飞(NETFLIX),网易,英伟达(NVIDIA),恩智浦半导体(NXP SEMICONDUCTORS),OKTA,奥莱利汽车(O REILLY AUTOMOTIVE),沛齐(PAYCHEX),帕卡(PACCAR),拼多多,百事(PEPSICO),PELOTON INTERACTIVE,PAYPAL,高通(QUALCOMM),再生元制药(REGENERON),罗斯百货(ROSS),星巴克(STARBUCKS),SEAGEN,天狼星XM,新思科技(SYNOPSYS),SPLUNK,思佳讯(SKYWORKS),携程网,ATLASSIAN,T-MOBILE US,特斯拉(TESLA),德州仪器(TEXAS INSTRUMENTS),VERISK ANALYTICS,威瑞信(VERISIGN),福泰制药(VERTEX),沃尔格林联合博姿,WORKDAY,埃克西尔能源(XCEL ENERGY),赛灵思(XILINX),ZOOM,
,收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),
2016-07-01,95.89,95.32,56.63,92.75,54.34,70.14,82.54,23.89,5.07,154.28,725.68,90.65,98.44,39.61,154.22,165.19,245.06,1267.37,24.38,40.3,58.91,79.62,232.29,65.28,156.11,49.34,,28.8,26.21,98.92,57.2,93.78,,79.58,75.87,23.78,36.41,45.29,114.19,108.91,,,84.86,699.21,710.25,116.5,93.07,140.73,81.27,32.75,111.91,666.31,21.31,95.65,88.24,72.5,82.98,73.96,67.79,50.42,45.11,139.81,159.73,,9.53,51.16,,12.5,96.67,184.57,46.66,77.97,,274.23,59.44,51.84,,105.63,,36.35,53,358.5,56.35,56.99,41.31,3.97,53.77,54.56,62.6,41.13,25.62,42.99,216.5,62.11,80.93,85.34,87.74,83.06,74.34,44.78,46.19,,
2016-07-05,94.99,94.73,55.36,93.31,52.8,70.81,80.87,23.84,4.96,154.27,728.1,89.09,95.34,40.15,150.76,161.87,242.03,1275.03,24.4,39.85,58.26,79.74,231.77,65.01,155.25,49.4,,28.33,25.67,99.5,56.4,94.98,,79.05,75.89,23.76,36.21,44.38,114,109.43,,,83.89,694.49,704.89,115.23,93.38,138.67,79.71,32.68,112.74,664.67,20.86,97.34,88.74,72.11,81.89,73.28,67.09,49.84,44.9,139.82,160.91,,9.37,51.17,,11.91,97.91,186.84,47.35,76.44,,275.75,60.09,50.48,,106.42,,36.12,51.94,359.61,56.36,56.77,40.15,3.94,53.56,53.75,58.82,40.66,26.17,43.21,213.98,61.25,81.62,84.19,86.51,83.52,72.65,45.27,45.57,,
2016-07-06,95.53,95.18,55.46,93.42,52.96,71.27,81.25,24,5.04,156.05,737.61,89.26,94.89,40.51,150.63,161.56,247.48,1292.04,24.44,39.99,58.79,81.63,232.78,65.1,156.01,49.32,,28.72,25.97,99.3,56.77,94.86,,78.69,76.74,23.83,36.63,44.34,116.7,108.71,,,85.73,697.77,708.97,116.82,93.57,140.79,82.48,32.97,113.28,670.44,20.38,97.74,89.74,72.26,81.96,74.41,67.85,49.49,45.2,139.68,161.26,,9.44,51.38,,11.73,94.6,186.12,47.65,76.05,,277.38,60.84,50.79,,105.92,,35.93,52.37,371.57,56.79,56.75,40.73,3.99,53.74,54,59.16,40.22,26.97,43.15,214.44,61.06,81.66,82.98,89.66,81.55,72.6,45.33,45.48,,
2016-07-07,95.94,95.14,55.95,93.5,53.53,70.28,81.89,24.29,5.02,156.59,736.57,89.68,94.61,40.39,150.99,163.42,247.27,1297.26,24.58,39.96,59.61,81.86,234.87,66.26,163.7,48.93,,28.74,25.88,98.76,56.84,94.63,,78.21,76.62,23.93,35.7,44.72,115.85,108.43,,,85.47,695.36,707.26,116.11,93.86,140.06,83.53,33.2,114.25,675.3,20.57,97.01,89.31,72.24,82.04,75.2,68.36,50.4,45.17,142.92,161.12,,9.77,51.38,,12.2,95.1,188.44,48.89,76.47,,275.28,60.59,50.75,,107.49,,36.32,52.93,371.45,56.56,56.91,40.94,4.03,53.82,54.87,60.89,40.06,26.58,42.96,215.94,61.77,81.85,83.4,90.05,80.5,73.79,44.32,45.71,,
2016-07-08,96.68,96.79,57.74,94.47,55.14,70.71,82.93,24.93,5.1,161.1,745.81,91.42,97.22,41.29,155.14,159.8,251.3,1329.46,25.05,40.43,60.62,83.15,237.17,67.11,165.44,49.85,,29.26,26.53,99.63,57.93,95.08,,78.87,78.26,24.61,36.11,45.23,117.24,109.69,,,86.55,705.63,717.78,118.84,94.96,141.25,85.7,34,115.48,678.84,20.72,97.13,89.85,73.75,84.88,76.72,69.85,51.87,46.1,146.22,161.5,,10,52.3,,12.62,97.06,185.13,50.85,79.15,,280.61,61.33,52.12,,108.27,,37.36,54.19,378.35,58.19,56.51,41.45,4.12,54.25,56.63,62.91,40.61,26.98,43.58,216.78,63.27,83.4,85.6,88.96,81.8,75.71,44.59,46.97,,
2016-07-11,96.98,97.14,58.25,95.14,55.49,70.7,83.37,25.15,5.01,160.18,753.78,91.27,99.76,42.2,157.36,167.03,252.54,1351.03,25.38,40.91,60.1,82.48,239.87,67.41,166.72,50.01,,29.43,26.67,98.07,58.44,94.87,,79.4,79.17,24.86,36.4,45.36,117.87,110.3,,,86.25,715.09,727.2,118.57,94.6,139.64,85,34.38,115.63,673.7,21.76,96.54,89.84,74.38,86.33,76.49,70.12,52.35,45.85,149.05,161,,10,52.59,,12.64,94.67,196.62,52.02,79.84,,277.86,61.24,53,,108.91,,38.15,54.115,375.74,58.06,56.32,42.37,4.14,54.67,57.36,64.64,41.78,27.22,44.04,224.78,63.4,84.02,85.23,90.1,82.01,77.57,44.41,47.22,,
2016-07-12,97.42,97.54,58.99,94.81,57.38,69.58,84.37,25.41,5.14,161.96,748.21,91.85,100.88,42.66,158.59,164.98,253.36,1345.43,25.58,41,60.74,81.45,238.45,67.15,166.28,50.01,,29.61,27.02,97.5,58.36,94.44,,79.8,79.51,25.13,36.43,43.79,117.93,110.19,,,86.63,720.64,732.51,119.02,94.22,148.99,84.97,34.94,116.34,675.31,22.21,96.81,87.8,75.34,88.24,76.62,71.26,53.1,45.73,151.1,160.79,,10.05,53.21,,13.23,95.97,197.33,52.8,80.61,,276.13,61.01,54.14,,108.79,,38.79,54.62,368.75,57.9,57.48,42.54,4.1,54.91,59,65.8,41.95,27.3,43.64,224.65,64.38,84.48,84.99,89.63,81.22,80.48,43.5,47.48,,
2016-07-13,96.87,97.34,59.52,95.14,56.87,70.01,83.06,25.91,5.09,160.52,742.63,90.91,101.11,42.11,157.41,164.16,251.19,1338.65,25.51,40.97,60.36,81.92,237.43,66.83,166.78,49.56,,29.75,28.21,97.49,58.49,94.36,,79.33,77.62,25.12,36.75,43.3,116.78,110.57,,,85.75,716.98,729.48,119.05,93.65,145.86,82.56,35.01,115.92,672.84,21.68,97.21,89.02,75.55,88.62,76.81,70.12,53.25,45.6,149.27,161.78,,10.01,53.51,,13.29,96.43,193.63,52.78,80.68,,276.22,61.11,53.9,,109.91,,39.28,54.83,364.5,58.04,56.48,41.32,4.09,54.87,58.32,65.35,42.19,27.11,44.21,222.53,64.54,84.71,84.41,87.78,81.77,79.73,43.95,47.62,,
2016-07-14,98.79,97.7,60.02,95.21,58.16,69.38,83.25,26.1,5.17,162.74,741.2,91.08,102.97,41.85,160.79,164.85,252.87,1346.18,25.73,41.21,60.8,81.67,239.11,67.02,166.94,49.91,,29.76,29.05,97.91,58.94,95,,78.11,78.05,26.08,36.39,43.3,117.29,110.55,,,85.54,720.95,735.8,119.09,93.21,147.23,82.14,35.2,116.39,675.6,21.68,96.95,88.34,75.22,87.88,77.42,70.45,53.61,45.68,149.22,162.11,,10.09,53.74,,13.29,98.02,195.5,53.32,79.58,,277.65,61.12,54.07,,109.96,,39.96,54.88,365.27,58.02,57.59,42.01,4.14,54.79,58.44,67.39,43,27.35,44.03,221.53,64.81,85.6,84.69,88.15,83.78,79.94,43.61,47.84,,
2016-07-15,98.78,97.83,60.15,95.06,57.98,69.64,82.42,26.34,5.14,163.28,735.44,91.14,101.61,42.2,161.16,162.74,260.3,1330.57,25.58,41.25,60.58,81.16,234.98,66.88,166.41,49.9,,29.82,28.52,97.6,57.76,94.34,,77.55,77.83,26.34,36.49,43.45,116.86,110.34,,,86.67,719.85,735.63,119.23,93.49,148.71,83.83,35.07,114.98,670.38,21.41,97.01,88.86,75.13,88.55,77.8,70.2,53.77,45.39,148.47,161.6,,10,53.7,,13.13,98.39,195.21,52.7,79.68,,273.63,60.92,53.81,,109.66,,39.09,54.75,373.81,58.19,57.41,42.96,4.16,54.42,58.71,67.39,43.08,27.4,44.41,220.4,64.85,85.24,84.04,90.21,82.51,78.85,43.75,47.9,,
2016-07-18,99.83,97.79,60.43,94.93,58.01,69.95,82.87,26.6,5.51,162.93,736.07,91.04,103.13,42.14,162.33,164.79,261.5,1341.36,25.66,41.36,60.89,81.97,234.34,66.86,167.51,49.56,,29.91,28.47,97.65,57.98,95.73,,78.19,78.26,26.49,36.67,42.98,119.37,110.26,,,86.93,733.78,753.2,118.89,93.76,149.57,84.13,35.05,115.25,670.54,22.14,96.62,89.1,75.93,89.33,77.75,70.39,54.04,45.42,148.8,155.54,,10.08,53.96,,13.34,98.81,199.43,52.97,81.73,,274.28,60.76,54.54,,109.21,,38.92,55.35,381.54,58.95,56.92,42.29,4.17,54.31,58.04,68.7,43.68,27.2,44.37,226.25,65.19,85.06,83.41,89.42,82.78,78.41,43.85,48.37,,
2016-07-19,99.87,97.79,60.27,95.02,57.52,69.77,82.98,26.39,5.41,162.49,739.95,90.5,105.63,41.52,160.53,161.19,259.82,1327,25.9,41.63,60.63,81.19,232.01,67.09,168.12,49.46,,29.92,28.3,97.42,57.67,95.36,,83.04,76.5,26.5,36.58,42.44,120.61,110.39,,,85.44,736.96,753.41,119.35,94.06,148.68,82.82,35.15,114.78,671.9,22.42,97.86,88.97,75.95,89.5,77.3,70.15,53.71,45.58,148.72,157.37,,9.85,53.09,,13.22,85.84,198.78,53.52,81.54,,273.22,60.7,53.65,,109.53,,39.37,55.14,377.15,59.21,56.76,41.55,4.17,54.58,58.14,68.33,43.06,27.51,44.38,225.26,64.94,85.54,83.12,87.43,82.21,78.96,43.79,47.98,,
2016-07-20,99.96,98.4,60.69,95.39,58.27,69.35,83.41,26.65,5.41,163.25,745.72,90.46,108.16,41.38,162.67,160.65,262.41,1352.83,26.11,42.42,62.04,82.26,236.19,67.12,168.04,49.76,,30.63,28.62,106.85,58.72,95.45,,84.63,76.7,26.99,36.25,42.55,121.92,110.91,,,86.66,741.19,757.08,119.88,95.25,152.59,86.88,35.69,114.79,703.05,22.66,97.79,88.17,76.67,91.21,77.17,69.87,54.34,45.17,152.37,158.11,,11.235,55.91,,13.59,87.91,199.05,54.22,84.17,,274.14,60.51,54.97,,108.92,,40.05,55.82,384.7,59.32,57.54,43.4,4.18,54.88,59.49,69.49,43.48,28.02,44.54,228.36,65.45,85.4,84.33,91.15,82.51,79.82,43.61,48.08,,
2016-07-21,99.43,96.34,59.95,94.88,57.58,69.43,82.72,26.23,5.22,164.19,744.43,89.39,105.48,41.27,160.41,161.4,282.45,1332.5,25.84,42.37,61.99,81.35,240.48,67.02,167.05,49.75,,30.58,28.34,107.3,58.31,94.66,,84.63,75.38,29.93,36.46,41.84,120.61,109.93,,,87.24,738.63,754.41,118.66,94.26,151.31,87.79,34.27,113.19,690.95,21.99,97.57,87.64,75.74,89.32,76.55,70.38,53.8,45.18,153.41,158.06,,11.28,55.8,,13.18,85.99,197.37,53.22,83.29,,271.33,60.34,54.71,,108.58,,40.13,59.93,389.52,59.22,57.6,44.4,4.16,54.45,58.32,70.92,43.4,27.73,44.67,220.5,64.91,84.8,82.82,93.21,81.7,78.18,43.88,47.79,,
2016-07-22,98.66,98.06,60.4,95.44,58.78,70.06,84.59,26.37,5.84,165.67,744.86,90,105.63,41.44,159.67,160.88,287.78,1327.4,26.07,42.26,61.95,81.73,243.47,67.46,167.47,50.365,,30.71,28.48,107.95,58.36,96.13,,87.89,76.33,30.49,37.41,42.12,121,110.48,,,86.55,742.74,759.28,115.61,94.44,150.76,86.41,34.66,114.06,689.37,21.92,98.34,88.16,76.06,90.05,76.14,70.99,54.17,45.13,154.24,160.58,,11.71,56.57,,13.13,85.89,196.02,54.67,84.4,,273.97,60.74,55,,109.19,,37.42,61.15,391.34,59.97,57.9,43.99,4.21,54.81,59.4,64.81,43.83,28.16,45.44,222.27,65.49,85.75,83.47,93.89,81.35,79.97,44.32,48.35,,
2016-07-25,97.34,97.32,60.53,95.29,58.22,69.77,84.17,26.49,6.7,166.56,739.61,89.99,106.48,42.4,159.78,160.25,287.35,1321.67,26.13,42.62,62.07,83.64,240.69,67.47,167.97,50.83,,30.79,28.37,108.22,58.4,96.39,,87.8,76.9,30.68,37.5,41.92,121.63,110.35,,,88.55,739.77,757.52,115.49,93.07,150.64,86.43,34.69,113.95,686.37,21.85,98.02,88.41,76.49,90.64,77.58,71.21,54.27,45.76,151.54,160.07,,11.54,56.73,,13.92,87.66,201.12,55.68,83.95,,278.74,60.76,55.91,,109.02,,37.78,60.73,394.9,61.13,57.95,44.49,4.15,54.62,59.82,64.94,43.73,28.4,45.04,230.01,66.22,85.52,84.19,95.77,81.57,80.03,44.24,48.45,,
2016-07-26,96.67,97.91,62.8725,95.72,58.75,69.74,85.61,26.81,6.98,167.67,735.59,90.34,108.77,41.56,163.44,164.03,287.04,1324.53,24.26,42.66,62.25,80.53,237.98,67.18,167.57,50.6,,30.88,28.72,108.39,58.62,96.65,,88.32,76.84,31.4,37.09,41.98,121.22,110.92,,,81.05,738.42,757.65,115.95,93.7,150.1,86.96,35.09,113.62,686.62,22.48,97.19,87.06,76.99,91.6,77.18,71.67,57.34,45.25,151.41,158.62,,11.64,56.76,,14.67,91.41,204.49,56.63,87.9,,281.77,61.21,58.36,,108.2,,37.69,61.35,398.27,61.98,58.31,43.77,4.35,54.17,59.69,65.87,44,28.7,44.98,229.51,71.42,85.36,83.95,94.98,81.33,80.1,43.79,49.7,,
2016-07-27,102.95,97.93,63.33,94.93,59.62,68.86,85.15,26.9,6.85,170.68,736.67,89.72,109.56,40.89,165.66,165.5,288.35,1324.48,24.18,42.61,61.95,78.1,237.72,67.92,166.15,51.3,,30.76,28.21,107.96,58.25,95.72,,88.66,76.67,31.31,36.59,41.9,123.34,110,,,81.79,741.77,761.97,114.96,92.77,162.25,88.72,34.83,112.54,683.08,22.36,96.2,85.63,77,91.96,76.82,70.54,57.08,43.94,151.4,157.51,,11.67,56.19,,14.19,92.04,207.17,56.06,87.44,,277.51,60.25,59.08,,107.48,,37.22,62.51,415.09,61.39,57.85,47.98,4.4,54.03,59.5,66.47,43.97,29,45.64,228.49,71.27,85.17,83.99,96.01,79.94,81.24,43.5,49.84,,
2016-07-28,104.34,98.44,64.22,91.73,59.45,68.92,85.28,26.62,6.82,171.28,752.61,90.07,110.08,40.27,164.23,165.63,289.03,1326.1,24.01,42.69,62.24,77.91,237.8,67.86,166.35,50.43,,30.52,28.35,108.18,57.89,96.12,,89.56,76.28,31.17,36.86,42.5,125,110.71,,,81.24,745.91,765.84,115.76,93.21,166.42,88.12,34.77,112.04,690.09,22.14,97.87,85.96,77.45,93.08,77.38,71.53,56.69,44.18,151.99,159.44,,11.89,56.21,,13.81,91.65,206.03,56.18,84.35,,288.67,59.2,58.53,,108.13,,37.22,62.43,411.04,61.33,58.21,47.37,4.36,54.31,62.12,66.47,43.79,29.74,46.22,230.61,70.23,85.54,84.25,96.21,79.46,83.09,43.76,51.09,,
2016-07-29,104.21,97.86,63.83,88.95,59.45,69.3,89.15,26.29,6.86,172.03,758.81,89.36,109.62,40.16,161.98,159.6,289.93,1350.81,24.05,42.93,62.39,76.88,234.87,67.25,167.22,50.44,,30.53,28.33,107.27,57.49,96.29,,92.23,76.32,31.16,37.28,42.75,123.94,110.36,,,79.47,768.79,791.34,116.33,93.79,166.35,90.21,34.86,110.99,695.76,21.65,98.51,86.39,75.71,89.77,77.65,71.7,55.64,43.98,153.08,160.63,,11.75,56.68,,13.74,91.25,204.27,57.1,84.09,,290.63,59.28,58.97,,108.92,,37.24,62.58,425.12,61.83,58.05,48.06,4.39,54.16,62.54,66.02,43.67,29.97,46.34,234.79,69.75,85.28,86.61,97,79.25,83.34,43.98,51.08,,
2016-08-01,106.05,97.72,63.98,88.67,59.74,69.31,89.69,26.27,6.64,174.16,767.74,90.38,109.7,40.07,163.51,163.23,301.83,1356.08,24.15,43.02,62.22,76.09,236,67.54,167.56,51.31,,30.73,28.06,107.41,58.45,97.1,,92.65,76.63,31.25,37.46,42.49,124.31,110.35,,,80.46,772.88,800.94,115.88,93.51,170.65,90,34.85,110.76,693.87,21.84,98,85.97,76.58,90.79,78.33,71.19,55.81,43.48,152.95,161.08,,11.85,56.58,,13.56,94.37,202.71,56.73,84.23,,289.01,59.26,58.54,,108.93,,37.06,61.85,434,61.58,57.63,49.22,4.34,54.55,62.04,66.14,43.09,29.84,47.07,230.01,69.88,84.86,85.62,98.2,79.27,82.74,43.94,51.2,,
2016-08-02,104.48,96.05,62.84,87.97,57.87,69.01,90.38,25.97,6.26,174.15,760.58,89.3,109.38,39.75,162.89,160.75,330.11,1345.38,23.95,42.63,61.95,75.05,235.79,66.9,166.5,50.84,,30.62,27.66,106.35,57.85,96.23,,92.78,76.78,30.79,36.78,41.81,123.09,109.41,,,79.57,771.07,800.12,115.45,105.88,166.92,88.95,34.56,109.22,690.49,21.8,97.01,85.15,75.72,89.73,76.95,70.59,54.98,43.03,151.5,159.3,,11.36,56.58,,13.4,93.56,200.34,56.04,81.85,,287.02,58.88,57.82,,108.72,,36.54,60.6,434.9,60.68,56.73,48.52,4.23,54.13,60,65.04,42.56,29.33,46.81,227.2,68.85,83.72,84.23,99.14,78.95,80.39,43.72,50.76,,
2016-08-03,105.79,96.67,62.87,88.19,57.95,68.45,91.95,26.2,6.3,173.43,754.64,90.32,108.45,40.38,164.11,162.24,321.34,1371.14,24.22,44.22,66.3,75.6,237.11,66.84,166.12,50,,30.72,28.2,106.32,58.15,96.77,,90.87,78.63,30.95,36.57,42.06,122.51,104.45,,,80.09,773.18,798.92,116.01,107.97,165.05,90.81,34.25,109.83,687.73,21.73,96.66,84.9,76.09,90.79,77.4,71.31,55.33,43.1,151.28,157.77,,11.3,56.97,,13.51,93.1,198.6,56.19,83.15,,286.68,58.51,57.75,,108.04,,36.58,61.01,441.37,61.32,55.94,49.01,4.23,54.36,60.09,64.39,42.5,29.79,47.21,225.79,68.88,79.43,84.86,100.44,79.6,82.03,43.16,50.84,,
2016-08-04,105.87,97.09,63.34,88.41,58.25,68.64,91.72,26.37,6.47,172.67,760.77,92.8,110.09,40.83,166.99,162.56,314.56,1359.99,24.33,44.3,66.3,75.89,236.99,67.18,166.55,50.23,,30.8,28.05,106.56,58.77,96.07,,91.5,78.23,31.06,36.33,42.4,124.36,105.58,,,79.77,771.61,797.25,115.95,107.98,165.66,90.12,34.58,109.9,693.59,21.37,97.19,85.54,76.8,91.93,77.41,72.21,55.75,42.5,152.25,158.59,,11.41,57.39,,14.03,93.44,198.42,57.23,84.25,,288.71,58.64,57.35,,108.42,,37.3,60.98,433.4,61.49,55.42,48.03,4.23,54.68,59.85,65.16,42.94,30.04,47.33,230.61,69.61,81.13,84.1,100.28,79.85,82.34,43.31,51.43,,
2016-08-05,107.48,99.04,63.69,89.67,59.33,67.85,91.83,26.81,6.61,173.66,765.98,94.84,109.6,40.56,170.12,167.38,315.96,1414.22,24.68,44.73,66.87,75.88,234.79,67.39,167.7,51,,31.04,28.63,106.89,59.71,97.02,,91.23,79.84,31.39,36.14,42.87,125.15,105.19,,,80.41,782.22,806.93,116.37,109.05,166.53,90.84,34.98,111.49,693.33,21.85,96.78,88.79,77.63,93.25,77.8,72.71,56.56,43.27,172.98,162.52,,11.41,57.96,,14.52,97.03,201.59,58.2,85.74,,290.48,59.36,57.96,,108.66,,38.1,62,423,61.85,55.9,47.94,4.24,55.16,60.14,66.55,43.05,31.97,47.78,230.03,70.15,82.17,84.72,102.43,80.53,83.09,42.67,51.77,,
2016-08-08,108.37,98.49,63.44,89.44,59.37,67.15,91.8,26.83,6.68,172.34,766.56,94.81,109.25,40.61,168.35,166.45,313.65,1405,24.69,44.99,67.33,75.1,236.82,67.07,167.4,50.4,,31.01,28.48,106.55,58.31,95.9,,90.66,79.27,31.15,36.11,42.85,125.26,103.99,,,79.74,781.76,805.23,116.04,108.62,166.46,88.04,35.04,112.02,692.84,22.35,95.93,88.75,77.02,92.72,78.52,72.54,56.63,43.42,173.72,158.96,,11.41,58.06,,14.42,95.11,200.36,58.74,85.92,,287.65,59.08,58.12,,108.14,,37.91,61.58,421.04,61.51,55.36,46.71,4.22,55.13,61.34,65.94,43.89,30.49,47.61,226.16,70.14,81.51,84.41,102.47,80.63,82.62,42.57,51.57,,
2016-08-09,108.81,98.87,63.82,89.97,60.34,67.39,93.16,26.79,6.6,172.08,768.31,95.14,109.89,41.25,171.17,165.54,314.42,1407.01,24.63,45.85,66.91,74.91,255.76,66.9,167.86,50.42,,30.94,28.26,106.82,57.67,95.95,,91.1,78.69,31.11,35.85,42.48,125.06,104.19,,,79.33,784.26,807.48,116.26,110.98,165.59,86.48,34.92,112.13,696.68,22.37,95.9,89.78,77.41,93.29,77.74,71.85,60.63,43.52,170.21,159.12,,11.59,58.2,,14.48,93.99,198.99,58.89,86.37,,286.71,59.45,57.94,,108.28,,38.1,61.99,419.24,60.8,55.2,46.43,4.19,55.49,62.57,67,45.16,30.66,47.64,229.08,70.25,81.73,84.88,102.83,80.89,83.05,42.65,51.99,,
2016-08-10,108,100.62,63.79,90.04,60.3,67.56,93.37,26.41,6.49,171.23,768.56,95.93,109.49,41.1,171.85,165.63,308.87,1406.28,24.68,45.7,66.94,74.6,254.07,67.22,168.29,50.93,,30.85,28,107.38,57.53,98.12,,90.24,78.57,31.12,35.53,42.47,124.88,104.19,,,78.9,784.68,808.49,116.03,109.89,165.98,83.49,34.53,112.86,693.24,23.41,97.03,89.35,69.47,89.11,77.93,71.86,60.35,43.47,169.64,160.9,,11.47,58.02,,14.2,93.93,199.41,58.51,85.72,,288.46,59.51,57.72,,108.82,,38.07,61.71,415.48,61.06,55.62,45.76,4.21,55.75,62.17,66.41,45.53,29.95,47.2,225.65,69.89,81.45,84.59,99.7,82.5,82.51,42.69,51.65,,
2016-08-11,107.93,101.67,64.14,90.4,61.71,67.72,94.63,26.82,6.58,172.43,771.24,96.71,110.69,41.31,172.09,167.72,314.49,1406.92,24.8,45.52,67.06,75.18,258.06,67.68,167.88,50.68,,30.95,28.08,107.51,57.33,97.37,,90.92,77.85,31.2,34.81,43.44,124.9,103.39,,,79.57,784.85,808.2,116.37,110.96,168.02,81.21,34.68,113.15,695.54,23.29,96.98,89.44,67.51,88.89,79.72,72.1,60.77,43.14,169.93,161.71,,11.42,58.3,,14.43,95.89,200.29,59.7,86.18,,288.1,59.9,57.9,,108.48,,38.46,61.74,421.35,61.96,55.47,46.5,4.23,55.88,63.45,67.41,45.89,29.98,46.83,224.91,70,81.57,84.67,101.21,82.91,83.65,42.71,51.83,,
