AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O
315.24,345.38,119.13,174.88,192.5,97.31,285.03,63.21,49.77,240.5,1877.94,266.81,301.08,60.43,307.05,139.49,286.14,2054.75,73.06,144.2,75.58,114.78,508.78,46.87,303.03,97.21,62.24,49.05,76.74,286.51,62.45,91.08,73.08,234.41,111.26,35.92,46.74,37.31,221.77,120.21,38.23,39.11,63.2,1451.7,1450.16,182.26,289.92,325.96,80.62,59.66,276.87,598.29,39.56,27.62,31.73,180.91,305.95,243.71,149.02,108.82,55.19,666.46,67.1,21.01,28.25,166.17,,57.68,338.62,350.13,248.93,134.18,128.4,441.07,87.97,78.56,39.51,139.61,30.83,115.4,91.79,385.57,118.05,92.58,107.66,7.2,149.69,160.32,123.09,38.45,134.72,81.44,513.49,130.16,160.56,213.54,235.5,54.42,182.78,65.03,101.36,76.11
318.73,349.74,119.47,176.87,193.35,98.56,280.7,62.85,50.93,241.49,1864.72,270.28,300.04,61.24,308.79,139.61,285.5,2054.69,73.73,136.85,75.86,113.75,502.73,47.5,304.68,97.12,63.45,49.02,76.4,284.23,62.77,91.55,72.53,230.79,112.93,35.82,47.39,36.8,222.14,120.68,38.575,39.34,62.98,1480.39,1479.52,183.23,285.8,324.72,80.5,59.6,282.85,600.03,40.35,27.67,31.03,178.73,308,241.25,150.26,109.41,55.16,673.01,67.31,20.62,28.49,167.1,,57.66,339.67,349.82,249.28,133.84,125.83,440.68,88.24,78.52,39.43,141.26,31.7,116.04,95.91,385.94,117.68,93.62,109,7.17,151.86,157.96,124.17,38.94,132.85,82.15,510.5,131.7,160.55,214,235.83,54.41,181.06,65.37,102.89,75.56
316.57,350,119.31,176.2,195.84,99.34,273.17,63.2,51.05,237.6,1892,273.82,298.4,61.42,308.07,137.1,287.19,1990.57,74.6,136.08,75.81,113.89,503.59,47.3,313.26,98.6,62.24,48.8,74.83,282.04,62.29,89.5,73.13,231.62,112.41,35.72,47.58,35.83,221.44,120.61,38.41,39.1,62.63,1484.4,1482.25,180.93,284.84,328.33,78.65,60.55,285.01,601.65,40.06,27.1,31.01,178.81,308.68,242.52,144.37,109.24,55.54,658.46,66.82,20.94,27.51,166.5,,58.97,338.11,340.81,247.94,133.96,125.26,440.6,88.65,77.54,39.34,141.86,32,116.15,94.54,363.71,117.8,92.53,108.67,7.15,153.58,157.1,123.8,35.86,131.32,82.03,547.2,130.86,161.3,214.44,233.99,53.87,182.31,66,101.65,76.73
317.7,350.06,120.42,178.33,194.73,100,279.31,63.89,51.43,236.75,1887.46,274.73,296.25,60.32,312.88,134.8,288.1,2000.24,74.8,136.58,75.52,114.88,510.76,47.44,311.89,99.64,62.57,49.06,74.61,282.53,62.19,89.87,74.42,235.54,113.09,35.89,47.66,35.93,221.32,122.05,38.4,39.08,63.43,1485.95,1484.17,180.05,287.62,331,78.48,62.73,290.52,610.24,40.97,28.03,30.67,180.13,311.34,244.3,144.12,109.34,55.46,663.15,67.46,21.97,27.775,165.7,,59.17,326,340.15,250.05,134.64,125.02,435.71,89.6,76.94,38.86,143.38,30.68,115.5,92.97,359.14,117.41,92.53,111.7,7.2,153.41,156.53,124.9,34.45,131.46,82.48,569.56,133.34,163.59,214.09,234.61,53.42,182.41,66.21,101.29,75.61
319.23,351.76,120.86,177.83,198.6,100.97,270.78,63.89,51.71,235.04,1884.58,277.71,294.32,60.13,319.65,134.2,284.21,1993.2,75.42,138.73,75.68,115.51,513.14,45.65,312.88,99.9,61.55,49,76.64,286.02,62.55,87.94,74.33,235.6,113.48,35.61,47.95,36.06,219.76,122.23,36.9,37.49,63.94,1486.65,1484.69,179.58,285.9,327,78.24,63.32,288.58,615,40.77,27.77,30.68,182.55,312.42,243.06,144.96,110.26,55.44,663.33,67.77,21.47,28.02,166.72,,59.2,349.6,334.94,252.86,136.41,127.84,436.05,89.65,77.6,38.37,143.65,30.06,117.89,92,356.6,118.21,93.75,115.35,7.16,154.96,157.84,128.19,34.26,132.64,82.18,572.2,134.25,165.1,215.02,233.91,53.3,184.38,66.9,102.41,74.47
308.66,358,110,173.94,199.26,104.22,253.02,59.72,48.02,216.88,2004.2,281.33,288.16,58.21,305.23,130.49,272.73,1839.03,72.83,132.89,73.17,113.58,532.05,42.66,302,100.8,61.08,46.53,77.1,282.01,62.61,87.51,80.63,237.09,105.04,34.39,48.2,35.855,204.19,121.94,36.83,37.59,66.36,1485.94,1482.6,171.32,275.77,293.41,72.94,64.42,282.8,565.62,39.2,28.68,29.15,169.93,308.44,246.37,141.48,97.55,57.55,677.98,67.42,20.38,24.21,174.38,,53.78,358,329.5,240.33,125.7,129.35,406.23,86.56,74.34,35.79,142.51,33.37,116.51,86.48,341.12,113.83,86.01,108.68,7.17,150.26,159.88,115.03,32.34,149.4,79.46,780,123.4,165.22,210.56,230.51,50.95,188.57,69.45,85.05,87.66
318.85,366.74,112.46,175.92,203.94,102.87,256.52,63.01,49.45,221.81,2049.67,289.22,299.23,59.21,311.6,131.37,283.29,1864.51,74.42,136.15,74.22,115.12,531.75,44.28,304.9,102.65,63.555,47.62,77.77,285.96,63.43,88.31,82.02,243.7,107.07,37.41,48.09,36.93,209.83,123.89,37.4,38.03,67.4,1447.07,1445.41,175.21,279.12,296,73.88,65.46,290.92,574.07,40.35,28.67,29.15,178.8,325.4,247.99,147.4,101.71,57.43,709.86,68.88,20.87,24.755,180.12,,55.5,369.01,342.73,247.13,130.51,134.76,407.59,88.28,76.18,36.51,143.22,33.47,120.08,88.93,356,116.35,88.38,111.51,7.21,155.81,167.81,117.96,34.1,152.09,81.51,887.06,126.47,168.13,214.48,239.66,52.34,194.7,69.3,85.78,85.79
321.45,365.55,116.68,178.62,202.08,102.12,267.5,63.8,49.84,231.94,2039.87,283.95,306.32,58.85,317.38,130.75,332.87,1939.29,74.32,136.04,78.595,115.52,522.18,44.59,308.95,102.16,61.815,48.45,78.17,291.34,64.97,88.71,80.74,238.54,107.82,37.125,48.33,37.65,210.11,121.67,37.93,38.67,65.87,1448.23,1446.05,176.9,274.4,300.35,76,67.34,289.81,576.56,39.94,28.69,29.37,171.28,325.62,243.9,147.71,108.51,57.92,675.84,68.95,20.05,25.84,179.9,,56.77,369.67,337.85,250.76,134.23,129.67,419.21,88.03,77.99,35.72,144.3,32.7,119.72,90.91,372.16,118.74,87.56,118.3,7.17,154.21,163.88,119.64,33.93,146.58,81.79,734.7,132.44,168.56,213.26,240.76,52.98,188.47,69.3,88.23,86.99
325.21,367.46,115.79,180.26,206,102.25,266.76,63.19,49.32,231.45,2050.23,285.88,309.55,60.26,319.69,133.16,337.24,1960.9,74.54,134.64,78.95,117.53,526.56,44.6,310.61,102.95,62.19,48.69,78.32,293.65,71.42,87.94,81.44,239,110,38,48.26,37.9,210.85,121.67,36.5,37.11,68.21,1476.23,1475.97,176.35,280.67,301.23,75.81,67.09,294.21,581.55,40.38,28.56,29.06,171.74,323.52,243.78,146.22,108.48,58.42,671,69.45,19.88,25.75,183.63,,58.68,366.95,346.88,254.245,135.34,130.09,398.13,88.45,77.59,36.38,144.33,29,119.89,90.61,389.85,118.19,86.15,118.64,7.19,154.77,162.67,117.68,34.07,147.94,82.77,748.96,132.52,168.95,216.94,239.12,53.49,187.5,69.3,87.72,87.26
320.03,366.09,112.27,179.1,207.01,101.34,258.67,61.71,49.73,229.33,2079.28,284.83,304.97,61.53,315.23,130.91,338.7,1909.59,73.55,132.66,78.93,117.26,525.21,44.74,313.63,102.58,62.09,47.97,77.87,291.58,69.59,87.14,83.16,240.22,109.09,36.2,48.19,37.35,212.33,121.86,36.37,37,68.87,1479.23,1479.11,175.28,278.4,294.3,74.14,66.02,294.71,579.43,39.99,28.57,29.54,165.1,315.4,243.51,144.07,106.21,58.66,646.02,68.905,23.24,24.02,183.89,,56.88,366.77,339.75,251.59,132.26,132.79,387.69,87.98,75.41,34.28,145.37,27.86,118.88,87.42,381.87,117.43,86.42,117.41,7.11,154.28,162.55,113.94,33.87,148,85.44,748.07,128.7,169.12,205.07,240.06,53.24,192.08,68.71,85.62,88.64
321.55,370,112.9,179.36,206.1,101.92,259.03,62.92,52.26,227.42,2133.91,286.52,309.68,61.63,314.2,131.05,338.93,1886.64,74.63,133.99,79.62,118.08,530.34,44.66,313.79,102.53,63.3,48.87,78.88,292.62,69.38,87.18,84.61,246.92,108.7,36.02,48.31,36.94,213.06,123.21,36.78,37.3,68.99,1508.68,1508.66,176.95,279.15,294.41,75.11,66.39,297.74,584.93,40.1,28.71,29.69,168.92,319.83,248.54,145.73,108.15,58.97,658.23,69.17,23.65,24.15,188.7,,57.33,371.07,352.5,262.97,133.19,135.76,391.31,88.49,75.31,34.5,145.66,28.6,120.06,88.6,386.21,118.26,87.53,116.51,7.2,156.92,167.16,116.28,32.66,151.28,84.53,771.28,129.65,169.94,205.83,244.75,53.42,194.86,69.06,86.42,89.67
319.61,369.28,116.88,177.97,205.8,102.22,264.46,64.45,53.8,228.96,2150.8,288.29,316.01,61.19,320.16,133.99,332.29,1909.3,75.71,135.97,80.23,117.88,530.94,44.79,310.68,102.31,65.19,49.13,78.52,293.49,69.2,88.19,85.33,247.92,109.04,36.435,49.34,37.82,207.19,120.71,36.61,37.13,67.76,1508.79,1510.06,179.15,283.38,296,76.14,67.41,296.92,587.82,40.78,28.67,30.01,173.04,325.67,251.58,147.19,108.86,58.87,651.62,69.15,21.35,25.5,184.44,,57.25,373.69,350.97,267.89,135.52,137.27,389.76,87.8,75.66,36,146.08,28.65,118.84,90,396.75,119.7,87.51,117.95,7.16,158.22,168.1,119.17,33.79,149,94.49,774.38,130.7,167.89,204.46,247.81,52.99,193.07,68.96,90.29,88.68
327.2,374.29,118.81,178.03,207.11,101.79,273.61,65.37,53.89,227,2160,292.46,317.44,62.8,324.7,137.49,331.76,1960.36,77.1,136.59,76.68,119.28,534,46.02,315.12,102.49,65.08,49.93,79.485,297.12,69.43,89.52,87.33,246,109.72,37.15,49.26,38.34,210.76,119.14,37.16,37.67,66.95,1518.27,1518.63,181.18,283.28,293.28,75.83,67.46,298.65,592.84,41.64,28.64,30.04,175.97,334.62,253.94,150.78,109.7,58.95,699.82,69.25,19.01,25.48,184.71,,59.27,380.01,348.31,272.54,137.83,137.58,392.47,87.97,76.56,36.81,146.08,28.34,118.56,91.72,406.3,120.06,88.57,118.07,7.21,159.52,169.84,123.05,34.31,151.54,95.67,767.29,132.42,169.28,208.29,242.21,54.47,194.4,69.03,91.17,88.28
